1986-03-20,7517
1986-03-23,7514
1986-03-26,6349
1986-03-27,2228
1986-03-30,2969
1986-04-02,1870
1986-04-03,3019
1986-04-06,5782
1986-04-07,3609
1986-04-10,8908
1986-04-13,4231
1986-04-14,2020
1986-04-17,6265
1986-04-20,6217
1986-04-21,0059
1986-04-24,9148
1986-04-25,7873
1986-04-28,4673
1986-05-01,3474
1986-05-02,5330
1986-05-05,0740
1986-05-08,1102
1986-05-09,0970
1986-05-12,2926
1986-05-13,9763
1986-05-16,8647
1986-05-19,8820
1986-05-20,5355
1986-05-23,5405
1986-05-26,6423
1986-05-27,4530
1986-05-30,5234
1986-05-31,5944
1986-06-03,5066
1986-06-06,8529
1986-06-07,9022
1986-06-10,6790
1986-06-13,6452
1986-06-14,9707
1986-06-17,9090
1986-06-18,3987
1986-06-21,0049
1986-06-24,6771
1986-06-25,7908
1986-06-28,0662
1986-07-01,9342
1986-07-02,9857
1986-07-05,0130
1986-07-06,9844
1986-07-09,0919
1986-07-12,3578
1986-07-13,6768
1986-07-16,1079
1986-07-19,2137
1986-07-20,0954
1986-07-23,8105
1986-07-24,4758
1986-07-27,0846
1986-07-30,9635
1986-07-31,2362
1986-08-03,2665
1986-08-06,0993
1986-08-07,7653
1986-08-10,8487
1986-08-11,8706
1986-08-14,5679
1986-08-17,4597
1986-08-18,0814
1986-08-21,7829
1986-08-24,1091
1986-08-25,3781
1986-08-28,0348
1986-08-29,5503
1986-09-01,0682
1986-09-04,9149
1986-09-05,0850
1986-09-08,1226
1986-09-11,4283
1986-09-12,3567
1986-09-15,0602
1986-09-16,2648
1986-09-19,6195
1986-09-22,1220
1986-09-23,5650
1986-09-26,9506
1986-09-29,7132
1986-09-30,3398
1986-10-03,0378
1986-10-04,5193
1986-10-07,7333
1986-10-10,2897
1986-10-11,3070
1986-10-14,2741
1986-10-17,5792
1986-10-18,2217
1986-10-21,7156
1986-10-22,9663
1986-10-25,4956
1986-10-28,7062
1986-10-29,8525
1986-11-01,8024
1986-11-04,8990
1986-11-05,0633
1986-11-08,0380
1986-11-09,8065
1986-11-12,6633
1986-11-15,4725
1986-11-16,4676
1986-11-19,3056
1986-11-22,1932
1986-11-23,4307
1986-11-26,2945
1986-11-27,5682
1986-11-30,1855
1986-12-03,3515
1986-12-04,9981
1986-12-07,1686
1986-12-10,0217
1986-12-11,0050
1986-12-14,0877
1986-12-15,7277
1986-12-18,8113
1986-12-21,6523
1986-12-22,7123
